year,id,city,property crimes reported,violent crimes reported,income,unemployment,density,population,property_crime_rate,violent _crime_rate,log_income
2001,18,Minneapolis,22719,4101,37936,3.5,,383563,5923.146915,1069.185505,4.579051537
2002,18,Minneapolis,22507,4123,38170,4.4,,381535,5899.065617,1080.634804,4.58172216
2003,18,Minneapolis,20405,4517,39398,4.6,,380189,5367.067432,1188.09329,4.595474176
2004,18,Minneapolis,20238,4726,41550,4.4,,378749,5343.380445,1247.792073,4.618571028
2005,18,Minneapolis,22417,5472,42494,3.9,,376937,5947.147667,1451.701478,4.628327614
2006,18,Minneapolis,22561,6374,44294,3.8,,376495,5992.377057,1692.983971,4.646344901
2007,18,Minneapolis,22543,5580,46449,4.4,,377575,5970.469443,1477.852082,4.666976369
2008,18,Minneapolis,20777,4779,47596,5.2,,379185,5479.383414,1260.334665,4.677570456
2009,18,Minneapolis,17859,4242,44822,7.8,,381638,4679.565452,1111.524534,4.651491231
2010,18,Minneapolis,18299,4064,46226,7.3,,383 067,4776.97113,1060.911016,4.664886315
2011,18,Minneapolis,19190,3722,48947,6.4,,388 052,4945.213528,959.1498047,4.689726079
2012,18,Minneapolis,19359,3872,51247,5.5,,392 768,4928.863859,985.8236924,4.709668447
2013,18,Minneapolis,19358,4038,51251,4.8,,400 070,4838.653236,1009.323368,4.709702344
2014,18,Minneapolis,19123,4093,53784,4.1,,407 067,4697.752458,1005.485583,4.730653098
2015,18,Minneapolis,17341,4395,56085,3.5,,411 030,4218.913461,1069.265017,4.748846724
2016,18,Minneapolis,17594,4622,57172,3.5,,415 079,4238.711185,1113.522968,4.757183385
2017,18,Minneapolis,19446,4614,59132,3.2,,420 925,4619.825385,1096.157273,4.771822568
2018,18,Minneapolis,16750,3395,61785,2.8,,424 903,3942.076192,799.0058908,4.790883051
2019,18,Minneapolis,19551,4034,63795,3.0,,429 606,4550.914093,938.9999209,4.804786642
2020,18,Minneapolis,19935,5073,66431,6.4,,429 606,4640.29832,1180.849429,4.82237079
2000,19,Memphis,50004,9616,29527,3.7,,688137,7266.576278,1397.396158,4.470219324
2001,19,Memphis,54790,10906,31070,4.3,,682522,8027.580063,1597.897211,4.492341253
2002,19,Memphis,55478,10416,31568,5.2,,678477,8176.843135,1535.203109,4.499247068
2003,19,Memphis,55541,10312,32347,5.7,,675101,8227.065284,1527.475148,4.509834009
2004,19,Memphis,54249,10093,33459,5.8,,670802,8087.18519,1504.616862,4.524512957
2005,19,Memphis,56842,12637,34284,6.1,,666952,8522.652305,1894.739052,4.535091486
2006,19,Memphis,56974,13557,35899,5.7,,665512,8560.927526,2037.078219,4.555082351
2007,19,Memphis,54010,13065,37091,5.1,,659816,8185.615384,1980.097482,4.569268542
2008,19,Memphis,53870,12939,37277,6.8,,653107,8248.265598,1981.145509,4.571440954
2009,19,Memphis,47256,12072,35931,9.7,,648051,7292.018684,1862.816352,4.555469304
2010,19,Memphis,42178,10401,37012,9.7,,652 326,6465.785512,1594.448175,4.568342553
2011,19,Memphis,42401,10338,38692,9.5,,655 341,6470.066729,1577.499348,4.587621179
2012,19,Memphis,41558,11417,40194,8.6,,658 786,6308.27006,1733.036221,4.604161228
2013,19,Memphis,39876,10890,40062,8.4,,657 146,6068.057935,1657.165987,4.602732627
2014,19,Memphis,39263,11420,40888,7.4,,654 990,5994.442663,1743.538069,4.611595868
2015,19,Memphis,37111,11474,42206,6.2,,654 106,5673.545266,1754.149939,4.625374195
2016,19,Memphis,37023,11989,43143,5.3,,652 548,5673.60562,1837.259481,4.634910341
2017,19,Memphis,41219,13135,44557,4.3,,650 878,6332.830423,2018.04332,4.648915942
2018,19,Memphis,41914,12783,46218,4.2,,651 104,6437.37406,1963.280828,4.664811148
2019,19,Memphis,40239,12500,48265,4.1,,651 073,6180.412949,1919.907599,4.683632311
2020,19,Memphis,36449,15404,51325,8.8,,651 073,5598.296965,2365.940532,4.710328958
2000,20,Baltimore,49883,16003,25966,5.9,,649086,7685.114145,2465.466826,4.414405053
2001,20,Baltimore,48689,14799,25089,6.8,,640733,7598.953074,2309.698424,4.399483352
2002,20,Baltimore,42031,13789,26000,7.6,,634115,6628.292975,2174.526703,4.414973348
2003,20,Baltimore,37470,11183,26996,7.9,,629033,5956.762205,1777.80816,4.431299419
2004,20,Baltimore,36059,11667,28746,7.8,,624222,5776.63075,1869.046589,4.458577421
2005,20,Baltimore,33241,11248,30632,7.5,,621560,5347.995366,1809.64026,4.486175353
2006,20,Baltimore,32321,10816,32400,6.9,,621109,5203.756507,1741.401268,4.51054501
2007,20,Baltimore,29939,10182,34591,5.9,,620306,4826.488862,1641.447931,4.538963117
2008,20,Baltimore,30570,10080,36116,6.9,,620184,4929.182307,1625.324097,4.557699644
2009,20,Baltimore,29163,9664,35843,11.0,,620509,4699.851251,1557.431077,4.554404352
2010,20,Baltimore,28280,9316,36801,11.4,,620 915,4554.568661,1500.366395,4.56585962
2011,20,Baltimore,29824,8886,38688,10.7,,620 410,4807.143663,1432.278654,4.587576279
2012,20,Baltimore,29149,8789,39052,10.0,,622 895,4679.600896,1410.992222,4.591643281
2013,20,Baltimore,30789,8725,39910,9.6,,622 391,4946.890299,1401.851891,4.601081728
2014,20,Baltimore,29420,8346,41963,8.4,,623 587,4717.866152,1338.385823,4.622866529
2015,20,Baltimore,30941,9542,43898,7.4,,622 522,4970.266111,1532.797234,4.642444734
2016,20,Baltimore,29547,11010,45271,6.4,,616 226,4794.831766,1786.682159,4.655820088
2017,20,Baltimore,30220,12430,46787,5.9,,610 481,4950.19501,2036.099404,4.670125199
2018,20,Baltimore,27217,11100,49059,5.5,,602 443,4517.771806,1842.497962,4.690718691
2019,20,Baltimore,25748,11101,49846,4.9,,593 490,4338.405028,1870.46117,4.697630313
2020,20,Baltimore,18540,9398,54125,8.5,,593 490,3123.894253,1583.514465,4.733397909
